═══ ④ 다면평가 비중 확대 (실제 조직 213명 · σ1=0.3 σ2=0.9 · 400회) ═══
   동료 4명 · 동료 관측오차 0.6σ · 동료 선호반영 0.30 (부서장 0.70의 절반 이하)
   기준: 현행 8.502 (0%) / 이상적 하한 2.386 (100%)

안                                    지표2 SD     하한대비    rho    부서%     규모격차
현행 (사전조정 · 다면 잡음)                     8.502     0.0%  0.402    4.3    -3.00
보정만 · 다면 10% (개선 원안)                  6.566    31.6%  0.702    3.5     0.81
└ 1차 50:50 으로 바꿈                      6.574    31.5%  0.702    3.7     0.33
보정 + 다면 20% (동료 4명)                   6.073    39.7%  0.754    3.0     0.65
보정 + 다면 30% (동료 4명)                   5.587    47.7%  0.798    2.6     0.67
보정 + 다면 40% (동료 4명)                   5.141    54.9%  0.834    2.3     0.66
보정 + 다면 30% · 동료 8명                   5.479    49.4%  0.808    2.5    -0.20
보정 + 다면 30% · 동료 2명                   5.825    43.8%  0.778    2.9     0.36
보정 + 다면 30% · 동료선호 0.70               6.467    33.3%  0.714    3.7     0.99
보정 + 다면 30% · 동료오차 1.2σ               5.979    41.3%  0.763    3.1     0.76
보정 + 다면 30% + 제7호 ±5                  5.772    44.6%  0.780    2.8     1.01
이상적 (하한)                              2.386   100.0%  0.972    0.8    -0.36
