═══ ①-1 역전 임계값 정밀 탐색 (실제 조직 · 400회) ═══
   지표2 SD — 낮을수록 좋다. 60:40(현행) 대비 50:50 의 차이

   σ2    70:30    60:40    50:50    40:60    50:50−60:40  판정
 0.30    6.849    6.645    6.504    6.434         -0.141  50:50 이 낫다
 0.50    6.930    6.771    6.687    6.680         -0.084  50:50 이 낫다
 0.60    6.973    6.842    6.787    6.813         -0.055  50:50 이 낫다
 0.70    7.019    6.911    6.886    6.945         -0.026  50:50 이 낫다
 0.80    7.063    6.983    6.985    7.069         +0.001  차이 없음
 0.90    7.107    7.047    7.078    7.187         +0.031  60:40 이 낫다
 1.00    7.151    7.113    7.166    7.297         +0.054  60:40 이 낫다
 1.20    7.228    7.232    7.326    7.493         +0.094  60:40 이 낫다

═══ ①-2 1차 100:0 (2차 평가자 폐지) ═══
   σ2    100:0    70:30    60:40   최적
  0.3    7.575    6.849    6.645   60:40
  0.6    7.575    6.973    6.842   60:40
  0.9    7.575    7.107    7.047   60:40
  1.2    7.575    7.228    7.232   70:30
  1.5    7.575    7.320    7.374   70:30

═══ ①-3 규모 격차 (합성 조직 240명 · 상위20% · 16명−3명 부서) ═══
   σ2    1차비율      지표2      규모격차    부서%
  0.3   100:0    7.686    +2.873    4.3
  0.3   70:30    7.089    +1.780    3.7
  0.3   60:40    6.946    +1.447    3.8
  0.3   50:50    6.865    +1.134    4.1
  0.3   40:60    6.848    +0.872    4.5

  0.9   100:0    7.686    +2.873    4.3
  0.9   70:30    7.324    +1.982    4.1
  0.9   60:40    7.308    +1.615    4.4
  0.9   50:50    7.378    +1.275    5.0
  0.9   40:60    7.512    +0.954    5.6

  1.5   100:0    7.686    +2.873    4.3
  1.5   70:30    7.513    +2.108    4.4
  1.5   60:40    7.592    +1.806    4.9
  1.5   50:50    7.760    +1.533    5.7
  1.5   40:60    7.978    +1.210    6.5

═══ ①-4 현행 vs 개선 — 관측오차를 넣어도 총량 판정이 유지되는가 ═══
   σ2                     제도      지표2     rho    부서%
  0.3                     현행    8.314   0.444    4.1
  0.3                 개선·보정만    6.645   0.695    3.5
  0.3              개선·보정+제7호    6.705   0.686    3.5
  0.3                  (이상적)    2.386   0.972    0.8

  0.9                     현행    8.476   0.407    4.4
  0.9                 개선·보정만    7.047   0.647    3.9
  0.9              개선·보정+제7호    6.983   0.653    3.9
  0.9                  (이상적)    2.386   0.972    0.8

  1.5                     현행    8.594   0.377    4.7
  1.5                 개선·보정만    7.374   0.603    4.3
  1.5              개선·보정+제7호    7.212   0.624    4.1
  1.5                  (이상적)    2.386   0.972    0.8

