═══ 실험 ① 관측오차 비대칭 × 1차 반영비율 (실제 조직 213명 · 400회) ═══
   σ1 = 0.3σ 고정. 개선안(순위기반 보정, 조정 없음) 기준

   σ2    1차비율    지표2 SD     rho     실력%    부서%     잔차%
  0.3    70:30     6.885   0.666    44.4    3.4    52.2
  0.3    60:40     6.676   0.691    47.6    3.5    48.9
  0.3    50:50     6.525   0.709    49.9    3.6    46.4
  0.3    40:60     6.438   0.718    51.2    3.9    45.0

  0.6    70:30     7.000   0.652    42.6    3.6    53.8
  0.6    60:40     6.858   0.670    44.9    3.7    51.4
  0.6    50:50     6.788   0.679    46.1    3.9    50.0
  0.6    40:60     6.798   0.678    46.0    4.3    49.7

  0.9    70:30     7.120   0.636    40.7    3.7    55.7
  0.9    60:40     7.050   0.646    41.9    3.9    54.2
  0.9    50:50     7.062   0.645    41.8    4.2    54.0
  0.9    40:60     7.157   0.633    40.4    4.7    54.9

  1.2    70:30     7.232   0.621    38.8    3.8    57.4
  1.2    60:40     7.222   0.624    39.1    4.0    56.8
  1.2    50:50     7.298   0.614    38.0    4.5    57.5
  1.2    40:60     7.454   0.592    35.5    5.0    59.5

  1.5    70:30     7.319   0.609    37.4    3.9    58.7
  1.5    60:40     7.352   0.605    37.0    4.2    58.8
  1.5    50:50     7.477   0.588    35.0    4.7    60.3
  1.5    40:60     7.675   0.557    31.7    5.3    63.1

