═══ ①-1 역전 임계값 정밀 탐색 (실제 조직 · 400회) ═══
   지표2 SD — 낮을수록 좋다. 60:40(현행) 대비 50:50 의 차이

   σ2    70:30    60:40    50:50    40:60    50:50−60:40  판정
 0.30    6.885    6.676    6.525    6.438         -0.151  50:50 이 낫다
 0.50    6.959    6.793    6.695    6.673         -0.098  50:50 이 낫다
 0.60    7.000    6.858    6.788    6.798         -0.070  50:50 이 낫다
 0.70    7.041    6.924    6.882    6.924         -0.041  50:50 이 낫다
 0.80    7.082    6.989    6.974    7.045         -0.014  50:50 이 낫다
 0.90    7.120    7.050    7.062    7.157         +0.011  60:40 이 낫다
 1.00    7.161    7.111    7.147    7.264         +0.036  60:40 이 낫다
 1.20    7.232    7.222    7.298    7.454         +0.075  60:40 이 낫다

═══ ①-2 1차 100:0 (2차 평가자 폐지) ═══
   σ2    100:0    70:30    60:40   최적
  0.3    7.576    6.885    6.676   60:40
  0.6    7.576    7.000    6.858   60:40
  0.9    7.576    7.120    7.050   60:40
  1.2    7.576    7.232    7.222   60:40
  1.5    7.576    7.319    7.352   70:30

═══ ①-3 규모 격차 (합성 조직 240명 · 상위20% · 16명−3명 부서) ═══
   σ2    1차비율      지표2      규모격차    부서%
  0.3   100:0    7.691    +1.072    4.2
  0.3   70:30    7.126    +0.559    3.6
  0.3   60:40    6.979    +0.472    3.7
  0.3   50:50    6.882    +0.341    4.0
  0.3   40:60    6.847    +0.289    4.4

  0.9   100:0    7.691    +1.072    4.2
  0.9   70:30    7.338    +0.692    4.0
  0.9   60:40    7.309    +0.640    4.3
  0.9   50:50    7.357    +0.453    4.8
  0.9   40:60    7.475    +0.336    5.4

  1.5   100:0    7.691    +1.072    4.2
  1.5   70:30    7.512    +0.777    4.3
  1.5   60:40    7.570    +0.739    4.7
  1.5   50:50    7.713    +0.575    5.4
  1.5   40:60    7.922    +0.540    6.2

═══ ①-4 현행 vs 개선 — 관측오차를 넣어도 총량 판정이 유지되는가 ═══
   σ2                     제도      지표2     rho    부서%
  0.3                     현행    8.311   0.445    3.9
  0.3                 개선·보정만    6.676   0.691    3.5
  0.3              개선·보정+제7호    6.731   0.683    3.5
  0.3                  (이상적)    2.386   0.972    0.8

  0.9                     현행    8.467   0.409    4.2
  0.9                 개선·보정만    7.050   0.646    3.9
  0.9              개선·보정+제7호    6.995   0.651    3.8
  0.9                  (이상적)    2.386   0.972    0.8

  1.5                     현행    8.579   0.381    4.4
  1.5                 개선·보정만    7.352   0.605    4.2
  1.5              개선·보정+제7호    7.215   0.623    4.0
  1.5                  (이상적)    2.386   0.972    0.8

